timestamp,algorithm,algo_id,payload_bytes,iterations,avg_encrypt_us,std_encrypt_us,avg_decrypt_us,std_decrypt_us,throughput_kbps,enc_peak_mem_kb,dec_peak_mem_kb
2026-03-23T12:53:41Z,ASCON-AEAD128,1,16,20,13222.925,2442.8743,9878.56,2694.4308,1.1817,1.9531,1.8516
2026-03-23T12:53:42Z,ASCON-AEAD128,1,64,20,30926.39,16244.3719,41426.275,5519.4208,2.0209,2.0771,2.043
2026-03-23T12:53:44Z,ASCON-AEAD128,1,256,10,102789.45,10004.7489,100694.8,10323.9704,2.4322,2.3037,2.457
2026-03-23T12:53:44Z,AES-128-GCM,2,16,20,5816.64,21938.3808,1229.47,283.4001,2.6863,2470.7188,11.3828
2026-03-23T12:53:44Z,AES-128-GCM,2,64,20,1136.615,298.2402,1520.16,151.7566,54.9878,7.1289,4.0986
2026-03-23T12:53:44Z,AES-128-GCM,2,256,10,956.53,340.1016,1443.8,324.3877,261.3614,6.9814,3.7627
2026-03-23T12:53:45Z,SPECK-128/128-CTR-HMAC,3,16,20,3532.53,771.1843,3547.845,1062.4035,4.4232,4.2578,3.79
2026-03-23T12:53:45Z,SPECK-128/128-CTR-HMAC,3,64,20,8879.68,2834.8051,9170.815,1820.0746,7.0385,3.9805,3.79
2026-03-23T12:53:46Z,SPECK-128/128-CTR-HMAC,3,256,10,29680.08,3692.8904,29240.91,4461.9045,8.4232,3.8359,3.4541
2026-03-23T12:53:48Z,PRESENT-80-CTR-HMAC,4,16,20,59105.35,42948.1616,47198.25,9989.053,0.2644,3.1836,3.04
2026-03-23T12:53:56Z,PRESENT-80-CTR-HMAC,4,64,20,199247.16,20612.9676,195799.155,17105.5606,0.3137,3.2852,3.0947
2026-03-23T12:54:10Z,PRESENT-80-CTR-HMAC,4,256,10,765353.86,20098.5305,710290.43,218469.0554,0.3266,3.3574,2.9795
