timestamp,algorithm,algo_id,payload_bytes,iterations,avg_encrypt_us,std_encrypt_us,avg_decrypt_us,std_decrypt_us,throughput_kbps,enc_peak_mem_kb,dec_peak_mem_kb
2026-03-23T12:54:22Z,ASCON-AEAD128,1,16,20,7984.5,1693.7733,8199.39,1894.2211,1.9569,1.9531,1.8516
2026-03-23T12:54:22Z,ASCON-AEAD128,1,64,20,14636.88,2828.3979,16108.63,3921.2809,4.27,2.0732,2.0391
2026-03-23T12:54:23Z,ASCON-AEAD128,1,256,10,39438.31,5936.3288,36709.11,3784.2719,6.339,2.3037,2.4531
2026-03-23T12:54:23Z,AES-128-GCM,2,16,20,332.785,82.9989,464.725,112.8707,46.9522,4.2197,4.0283
2026-03-23T12:54:23Z,AES-128-GCM,2,64,20,324.58,23.3984,481.705,170.1931,192.5565,4.2666,4.0283
2026-03-23T12:54:23Z,AES-128-GCM,2,256,10,342.75,48.3561,446.87,105.1689,729.3946,4.1182,3.6924
2026-03-23T12:54:23Z,SPECK-128/128-CTR-HMAC,3,16,20,1526.365,529.3806,1466.61,558.8941,10.2367,3.9336,3.79
2026-03-23T12:54:23Z,SPECK-128/128-CTR-HMAC,3,64,20,2625.285,384.5783,3124.105,867.5694,23.8069,3.9805,3.79
2026-03-23T12:54:24Z,SPECK-128/128-CTR-HMAC,3,256,10,11865.63,2202.2559,13144.65,2608.0406,21.0693,3.832,3.4541
2026-03-23T12:54:24Z,PRESENT-80-CTR-HMAC,4,16,20,21719.405,3771.7523,21412.665,4053.6756,0.7194,3.1836,3.0361
2026-03-23T12:54:30Z,PRESENT-80-CTR-HMAC,4,64,20,110443.955,24886.5504,146667.81,36099.3272,0.5659,3.2812,3.0947
2026-03-23T12:54:42Z,PRESENT-80-CTR-HMAC,4,256,10,623689.0,175312.4043,575676.23,71441.2287,0.4008,3.3496,2.9717
